date,fees_eth,winning_ticket_transfers
2022-02-18,0.19364455476,2
2022-02-19,1.04673367524,10
2022-02-20,0.5304932966,10
2022-02-21,0.85223180964,8
2022-02-22,0.9416067298566234,9
2022-02-23,1.25655317908,12
2022-02-24,0.3757709282,4
2022-02-25,0.44159016252,6
2022-02-26,0.68730773436,10
2022-02-27,0.99281990064,15
2022-02-28,0.1474792398,2
2022-03-01,0.69401363348,8
2022-03-02,0.38200290548000004,6
2022-03-03,0.95450495736,13
2022-03-04,0.3656787948,5
2022-03-05,0.54632264704,9
2022-03-06,0.76465004772,13
2022-03-07,0.50018676156,7
2022-03-08,0.28727953344,4
2022-03-09,0.36218025612,6
2022-03-10,0.46780200852,8
2022-03-11,0.63639563252,13
2022-03-12,0.7051594842,17
2022-03-13,0.54980079736,14
2022-03-14,0.45292911184,12
2022-03-15,0.6898123656799999,16
2022-03-16,0.68122326368,14
2022-03-17,0.41383686048,6
2022-03-18,0.74555452968,8
2022-03-19,0.5412255325199999,8
2022-03-20,0.51180404808,10
2022-03-21,0.5128084053599999,11
2022-03-22,0.53471819508,11
2022-03-23,0.53275903692,9
2022-03-24,0.5188203393199999,10
2022-03-25,0.2106994148,7
2022-03-26,0.27552464232,4
2022-03-27,0.4174631642,9
2022-03-28,0.262067085,5
2022-03-29,0.48525238028,9
2022-03-30,0.3260001774,5
2022-03-31,0.62019167172,8
2022-04-01,0.34577848284,4
2022-04-02,0.26474939536000003,4
2022-04-03,0.15434434032,2
2022-04-04,0.24201572232000002,3
2022-04-05,0.3830869984,5
2022-04-06,0.1195891492,2
2022-04-07,0.19558353324,2
2022-04-08,0.10321296504000001,2
2022-04-09,0.27247477988,5
2022-04-10,0.36701751176,13
2022-04-11,0.37500345568,10
2022-04-12,0.70681733588,11
2022-04-13,0.30678969004,9
2022-04-14,0.44551801552,12
2022-04-15,0.1349457896,5
2022-04-16,0.5385175034,11
2022-04-17,0.41882314596,15
2022-04-18,0.54452008756,15
2022-04-19,0.36971344508,11
2022-04-20,0.45107568564,12
2022-04-21,0.1923451168,6
2022-04-22,0.68057782868,12
2022-04-23,0.46138850676,12
2022-04-24,0.42478171515999996,11
2022-04-25,0.2524249504,6
2022-04-26,0.32620057952000003,11
2022-04-27,0.73637987392,16
2022-04-28,0.45710619484,10
2022-04-29,0.45857396384,9
2022-04-30,0.71885920464,15
2022-05-01,0.65520283764,9
2022-05-02,0.17543539136,7
2022-05-03,0.15329371344,6
2022-05-04,0.57599304116,11
2022-05-05,0.26617545984,6
2022-05-06,0.6671213525599999,12
2022-05-07,0.43043562292,14
2022-05-08,0.47142280364,13
2022-05-09,0.27224618876,6
2022-05-10,0.14915900304000002,6
2022-05-11,0.44051055056,9
2022-05-12,0.38,4
2022-05-13,0.15237089263999998,3
2022-05-14,0.42039431788,7
2022-05-15,0.33370408496000004,10
2022-05-16,0.30500266568,10
2022-05-17,0.4214454378,10
2022-05-18,0.30574952204,8
2022-05-19,0.52910473748,16
2022-05-20,0.33571826732,11
2022-05-21,0.41445176672,15
2022-05-22,0.62011033276,20
2022-05-23,0.67375675284,17
2022-05-24,0.42244949512,14
2022-05-25,0.37353907224,12
2022-05-26,0.67005069684,10
2022-05-27,0.60038162208,13
2022-05-28,0.44736981988,9
2022-05-29,0.574435603,20
2022-05-30,0.430998736,11
2022-05-31,0.20268663488,4
2022-06-01,0.38322683412,8
2022-06-02,0.4313654972,7
2022-06-03,0.52978295936,10
2022-06-04,1.21894079648,18
2022-06-05,0.44663882496,12
2022-06-06,0.45404176444,10
2022-06-07,0.46982686748,7
2022-06-08,0.85272690692,19
2022-06-09,0.7490693766400001,12
2022-06-10,0.49432914972,9
2022-06-11,0.4924277438,12
2022-06-12,0.685944376,13
2022-06-13,0.22299999999999998,6
2022-06-14,0.03,3
2022-06-15,0.6096057664,12
2022-06-16,0.5857570184800001,10
2022-06-17,0.33220153144,8
2022-06-18,0.424285646,12
2022-06-19,0.46410847188,10
2022-06-20,0.77924921932,23
2022-06-21,0.2271464504,6
2022-06-22,0.6503170158,13
2022-06-23,0.52808629148,10
2022-06-24,0.68036557772,12
2022-06-25,0.4334641186,8
2022-06-26,0.33391666428,16
2022-06-27,0.27915830712,7
2022-06-28,0.35158843276,6
2022-06-29,0.8384864044,7
2022-06-30,0.37335933232,7
2022-07-01,0.8218463882020202,19
2022-07-02,0.55425570556,21
2022-07-03,0.44692435376,21
2022-07-04,0.3892708218,14
2022-07-05,0.3906431474,13
2022-07-06,0.85163425644,26
2022-07-07,0.43843280208,15
